Product.Name,Brand.Name,Price,Rating,Reviews,Actual Sentiment,UpdatedVotes,VotesRating
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,4,So far the iPhone 4 from this seller has been working as promised.,Positive,1,4
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,1,It didn't come with all the things it said was with the phone.,Negative,3,3
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,1,Net10 does NOT support this phone...I have no idea what they were thinking...had to go to verizon...love the phone...hate verizon..Not happy!,Negative,8,8
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,2,"This is a nice phone, but it is not net ten ready it can only be serviced through Verizon. I learned that the hard way and bought everything for net ten and spent two days trying to activate it to find out you can only use Verizon .",Neutral,17,34
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,1,Phone works with network. But old technology does not allow for apps. Phone screen cracked on arrival but not enough to interrupt use. Screen cracks easily and in general phone seems cheap. Great for kids or as inexpensive option if you can't afford newest phones but you get what you pay for,Neutral,1,1
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,1,Didn't work for my area Disappointed returned it,Negative,1,1
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,5,it works great,Positive,1,5
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,3,Was not for Net10 but was ready for Straight Talk. Also did not come with all the extra stuff which I think I should be either refunded some money or sent the stuff as promised. Awesome phones though in really good condition and got here pretty fast. Me and my girlfriend do enjoy them but the information is wrong.,Neutral,1,3
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,5,great lave it to my son he loves it,Positive,1,5
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,5,It was all I expected,Positive,1,5
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,5,Comes ready to activate and simple instructions to activate it. It just didn't come with extra chargers or car charger,Neutral,1,5
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,5,Vary happy and any 1who says is not net 10 is a liar.,Positive,2,10
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,1,It got here on time but it is not net 10 ready.,Neutral,1,1
"Apple iPhone 4 - 8GB, BLACK, Net 10 Ready, USE VERIZON'S NETWORK!",Apple,208.79,3,Gets the job done but no Voicemail? Not sure if that is just my service or the phone or a setting. Advice would be awesome. Thanks.,Neutral,1,3
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,NA,5,I love this photo unlocked GSM like new,Positive,1,5
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,NA,4,wish I had known BEFORE I got it for my daughter's bday that it can't be activated without a SIM card as it was previously used and owned by AT&T. Ended up having to place another order for a sim card just to get wifi for it and wait another week.,Neutral,1,4
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,NA,5,The phone was in great shape. Very good investment from our end.,Positive,1,5
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,NA,5,Looked new. No scratches and unlocked. works great with Tracfone. Very good value for the price.,Positive,1,5
Apple iPhone 4 - GSM Unlocked Smartphone - Black - 8GB (Certified Refurbished),Apple,NA,3,I like the phone only problem with it is u have to upgrade it for some apps an it wont even upgrade it,Neutral,1,3
